sample-id	size	place	date	year	month	day	name_old	Date_2	name	date_place	place_2
180925-uuj-3	3	UUJ	180925	18	9	25	180925_UUJ_3	2018.09.25	180925-uuj-3	180925-uuj	J
180925-uuj-8	8	UUJ	180925	18	9	25	180925_UUJ_8	2018.09.25	180925-uuj-8	180925-uuj	J
180903-uuj-3	3	UUJ	180903	18	9	3	180903_UUJ_3	2018.09.03	180903-uuj-3	180903-uuj	J
180903-uuj-8	8	UUJ	180903	18	9	3	180903_UUJ_8	2018.09.03	180903-uuj-8	180903-uuj	J
180827-uum-3	3	UUM	180827	18	8	27	180827_UUM_3	2018.08.27	180827-uum-3	180827-uum	M
180827-uum-8	8	UUM	180827	18	8	27	180827_UUM_8	2018.08.27	180827-uum-8	180827-uum	M
180827-uuj-3	3	UUJ	180827	18	8	27	180827_UUJ_3	2018.08.27	180827-uuj-3	180827-uuj	J
180827-uuj-8	8	UUJ	180827	18	8	27	180827_UUJ_8	2018.08.27	180827-uuj-8	180827-uuj	J
180815-uuj-3	3	UUJ	180815	18	8	15	180815_UUJ_3	2018.08.15	180815-uuj-3	180815-uuj	J
180815-uuj-8	8	UUJ	180815	18	8	15	180815_UUJ_8	2018.08.15	180815-uuj-8	180815-uuj	J
180809-uuj-3	3	UUJ	180809	18	8	9	180809_UUJ_3	2018.08.09	180809-uuj-3	180809-uuj	J
180809-uuj-8	8	UUJ	180809	18	8	9	180809_UUJ_8	2018.08.09	180809-uuj-8	180809-uuj	J
180802-uuj-3	3	UUJ	180802	18	8	2	180802_UUJ_3	2018.08.02	180802-uuj-3	180802-uuj	J
180802-uuj-8	8	UUJ	180802	18	8	2	180802_UUJ_8	2018.08.02	180802-uuj-8	180802-uuj	J
180725-uuj-3	3	UUJ	180725	18	7	25	180725_UUJ_3	2018.07.25	180725-uuj-3	180725-uuj	J
180725-uuj-8	8	UUJ	180725	18	7	25	180725_UUJ_8	2018.07.25	180725-uuj-8	180725-uuj	J
180718-uuj-3	3	UUJ	180718	18	7	18	180718_UUJ_3	2018.07.18	180718-uuj-3	180718-uuj	J
180718-uuj-8	8	UUJ	180718	18	7	18	180718_UUJ_8	2018.07.18	180718-uuj-8	180718-uuj	J
180629-uuj-3	3	UUJ	180629	18	6	29	180629_UUJ_3	2018.06.29	180629-uuj-3	180629-uuj	J
180629-uuj-8	8	UUJ	180629	18	6	29	180629_UUJ_8	2018.06.29	180629-uuj-8	180629-uuj	J
180622-uuj-3	3	UUJ	180622	18	6	22	180622_UUJ_3	2018.06.22	180622-uuj-3	180622-uuj	J
180622-uuj-8	8	UUJ	180622	18	6	22	180622_UUJ_8	2018.06.22	180622-uuj-8	180622-uuj	J
180607-uuu-3	3	UUU	180607	18	6	7	180607_UUU_3	2018.06.07	180607-uuu-3	180607-uuu	U
180528-uuj-3	3	UUJ	180528	18	5	28	180528_UUJ_3	2018.05.28	180528-uuj-3	180528-uuj	J
180528-uuj-8	8	UUJ	180528	18	5	28	180528_UUJ_8	2018.05.28	180528-uuj-8	180528-uuj	J
180510-uuj-3	3	UUJ	180510	18	5	10	180510_UUJ_3	2018.05.10	180510-uuj-3	180510-uuj	J
180510-uuj-8	8	UUJ	180510	18	5	10	180510_UUJ_8	2018.05.10	180510-uuj-8	180510-uuj	J
180410-uuj-3	3	UUJ	180410	18	4	10	180410_UUJ_3	2018.04.10	180410-uuj-3	180410-uuj	J
180410-uuj-8	8	UUJ	180410	18	4	10	180410_UUJ_8	2018.04.10	180410-uuj-8	180410-uuj	J
180313-uuj-3	3	UUJ	180313	18	3	13	180313_UUJ_3	2018.03.13	180313-uuj-3	180313-uuj	J
180313-uuj-8	8	UUJ	180313	18	3	13	180313_UUJ_8	2018.03.13	180313-uuj-8	180313-uuj	J
180219-uuj-3	3	UUJ	180219	18	2	19	180219_UUJ_3	2018.02.19	180219-uuj-3	180219-uuj	J
180219-uuj-8	8	UUJ	180219	18	2	19	180219_UUJ_8	2018.02.19	180219-uuj-8	180219-uuj	J
180110-uuj-3	3	UUJ	180110	18	1	10	180110_UUJ_3	2018.01.10	180110-uuj-3	180110-uuj	J
180110-uuj-8	8	UUJ	180110	18	1	10	180110_UUJ_8	2018.01.10	180110-uuj-8	180110-uuj	J
171218-uuj-3	3	UUJ	171218	17	12	18	171218_UUJ_3	2017.12.18	171218-uuj-3	171218-uuj	J
171218-uuj-8	8	UUJ	171218	17	12	18	171218_UUJ_8	2017.12.18	171218-uuj-8	171218-uuj	J
171113-uuj-3	3	UUJ	171113	17	11	13	171113_UUJ_3	2017.11.13	171113-uuj-3	171113-uuj	J
171113-uuj-8	8	UUJ	171113	17	11	13	171113_UUJ_8	2017.11.13	171113-uuj-8	171113-uuj	J
171110-uum-3	3	UUM	171110	17	11	10	171110_UUM_3	2017.11.10	171110-uum-3	171110-uum	M
171110-uuj-3	3	UUJ	171110	17	11	10	171110_UUJ_3	2017.11.10	171110-uuj-3	171110-uuj	J
171110-uuj-8	8	UUJ	171110	17	11	10	171110_UUJ_8	2017.11.10	171110-uuj-8	171110-uuj	J
171110-uum-8	8	UUM	171110	17	11	10	171110_UUM_8	2017.11.10	171110-uum-8	171110-uum	M
171027-uuj-3	3	UUJ	171027	17	10	27	171027_UUJ_3	2017.10.27	171027-uuj-3	171027-uuj	J
171027-uuj-8	8	UUJ	171027	17	10	27	171027_UUJ_8	2017.10.27	171027-uuj-8	171027-uuj	J
170927-uuj-3	3	UUJ	170927	17	9	27	170927_UUJ_3	2017.09.27	170927-uuj-3	170927-uuj	J
170927-uuj-8	8	UUJ	170927	17	9	27	170927_UUJ_8	2017.09.27	170927-uuj-8	170927-uuj	J
170818-uuj-3	3	UUJ	170818	17	8	18	170818_UUJ_3	2017.08.18	170818-uuj-3	170818-uuj	J
170818-uuj-8	8	UUJ	170818	17	8	18	170818_UUJ_8	2017.08.18	170818-uuj-8	170818-uuj	J
170804-uuj-3	3	UUJ	170804	17	8	4	170804_UUJ_3	2017.08.04	170804-uuj-3	170804-uuj	J
170804-uuj-8	8	UUJ	170804	17	8	4	170804_UUJ_8	2017.08.04	170804-uuj-8	170804-uuj	J
170726-uuj-3	3	UUJ	170726	17	7	26	170726_UUJ_3	2017.07.26	170726-uuj-3	170726-uuj	J
170726-uuj-8	8	UUJ	170726	17	7	26	170726_UUJ_8	2017.07.26	170726-uuj-8	170726-uuj	J
170721-uuj-3	3	UUJ	170721	17	7	21	170721_UUJ_3	2017.07.21	170721-uuj-3	170721-uuj	J
170721-uuj-8	8	UUJ	170721	17	7	21	170721_UUJ_8	2017.07.21	170721-uuj-8	170721-uuj	J
170714-uuj-3	3	UUJ	170714	17	7	14	170714_UUJ_3	2017.07.14	170714-uuj-3	170714-uuj	J
170714-uuj-8	8	UUJ	170714	17	7	14	170714_UUJ_8	2017.07.14	170714-uuj-8	170714-uuj	J
170706-uuj-3	3	UUJ	170706	17	7	6	170706_UUJ_3	2017.07.06	170706-uuj-3	170706-uuj	J
170706-uuj-8	8	UUJ	170706	17	7	6	170706_UUJ_8	2017.07.06	170706-uuj-8	170706-uuj	J
170630-uuj-3	3	UUJ	170630	17	6	30	170630_UUJ_3	2017.06.30	170630-uuj-3	170630-uuj	J
170630-uuj-8	8	UUJ	170630	17	6	30	170630_UUJ_8	2017.06.30	170630-uuj-8	170630-uuj	J
170626-uuj-3	3	UUJ	170626	17	6	26	170626_UUJ_3	2017.06.26	170626-uuj-3	170626-uuj	J
170626-uuj-8	8	UUJ	170626	17	6	26	170626_UUJ_8	2017.06.26	170626-uuj-8	170626-uuj	J
170623-uuj-3	3	UUJ	170623	17	6	23	170623_UUJ_3	2017.06.23	170623-uuj-3	170623-uuj	J
170623-uuj-8	8	UUJ	170623	17	6	23	170623_UUJ_8	2017.06.23	170623-uuj-8	170623-uuj	J
170621-uuf-3	3	UUF	170621	17	6	21	170621_UUF_3	2017.06.21	170621-uuf-3	170621-uuf	F
170621-uuf-8	8	UUF	170621	17	6	21	170621_UUF_8	2017.06.21	170621-uuf-8	170621-uuf	F
170620-uuj-3	3	UUJ	170620	17	6	20	170620_UUJ_3	2017.06.20	170620-uuj-3	170620-uuj	J
170620-uuj-8	8	UUJ	170620	17	6	20	170620_UUJ_8	2017.06.20	170620-uuj-8	170620-uuj	J
170620-uuf-3	3	UUF	170620	17	6	20	170620_UUF_3	2017.06.20	170620-uuf-3	170620-uuf	F
170620-uuf-8	8	UUF	170620	17	6	20	170620_UUF_8	2017.06.20	170620-uuf-8	170620-uuf	F
170615-uuj-3	3	UUJ	170615	17	6	15	170615_UUJ_3	2017.06.15	170615-uuj-3	170615-uuj	J
170615-uuj-8	8	UUJ	170615	17	6	15	170615_UUJ_8	2017.06.15	170615-uuj-8	170615-uuj	J
170612-uuj-3	3	UUJ	170612	17	6	12	170612_UUJ_3	2017.06.12	170612-uuj-3	170612-uuj	J
170612-uuj-8	8	UUJ	170612	17	6	12	170612_UUJ_8	2017.06.12	170612-uuj-8	170612-uuj	J
170523-uuj-3	3	UUJ	170523	17	5	23	170523_UUJ_3	2017.05.23	170523-uuj-3	170523-uuj	J
170523-uuj-8	8	UUJ	170523	17	5	23	170523_UUJ_8	2017.05.23	170523-uuj-8	170523-uuj	J
170501-uuj-3	3	UUJ	170501	17	5	1	170501_UUJ_3	2017.05.01	170501-uuj-3	170501-uuj	J
170501-uuj-8	8	UUJ	170501	17	5	1	170501_UUJ_8	2017.05.01	170501-uuj-8	170501-uuj	J
170412-uuj-3	3	UUJ	170412	17	4	12	170412_UUJ_3	2017.04.12	170412-uuj-3	170412-uuj	J
170412-uuj-8	8	UUJ	170412	17	4	12	170412_UUJ_8	2017.04.12	170412-uuj-8	170412-uuj	J
170307-uuj-3	3	UUJ	170307	17	3	7	170307_UUJ_3	2017.03.06	170307-uuj-3	170307-uuj	J
170307-uuj-8	8	UUJ	170307	17	3	7	170307_UUJ_8	2017.03.06	170307-uuj-8	170307-uuj	J
170105-uuj-3	3	UUJ	170105	17	1	5	170105_UUJ_3	2017.01.05	170105-uuj-3	170105-uuj	J
170105-uuj-8	8	UUJ	170105	17	1	5	170105_UUJ_8	2017.01.05	170105-uuj-8	170105-uuj	J
